name,description,image,animation_url,external_url,rarityTier,trait:Background Gradient,trait:Family,trait:Frequency,trait:Mode,trait:Pattern,trait:Visual Style
Classic NODE #1,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/1.png,,,,Emerald Bloom,Bridge Mesh,1515 Hz,7 x 7,High Petal Lattice,Classic Plate Gradient
Classic NODE #2,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/2.png,,,,Plasma Orchid,Branch Web,993 Hz,5 x 6,Soft Mandala Grid,Classic Plate Gradient
Classic NODE #3,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/3.png,,,,Frozen Pulse,Circle Lattice,1660 Hz,6 x 8,Symmetric Crown,Classic Plate Gradient
Classic NODE #4,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/4.png,,,,Rose Flame,Radial Bloom,552 Hz,2 x 3,Twin Core Bloom,Classic Plate Gradient
Classic NODE #5,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/5.png,,,,Amber Night,Orbital Mesh,1467 Hz,6 x 6,High Petal Lattice,Classic Plate Gradient
Classic NODE #6,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/6.png,,,,Cyan Voltage,Cross Bloom,339 Hz,2 x 2,Low Cross Bloom,Classic Plate Gradient
Classic NODE #7,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/7.png,,,,Lilac Echo,Diamond Grid,1952 Hz,6 x 9,Circle Resonance Net,Classic Plate Gradient
Classic NODE #8,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/8.png,,,,Mint Prism,Diamond Grid,1986 Hz,7 x 9,Circle Resonance Net,Classic Plate Gradient
Classic NODE #9,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/9.png,,,,Ruby Halo,Mirror Mesh,1220 Hz,4 x 6,Orbital Mesh Bloom,Classic Plate Gradient
Classic NODE #10,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/10.png,,,,Amber Night,Radial Bloom,530 Hz,4 x 3,Twin Core Bloom,Classic Plate Gradient
Classic NODE #11,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/11.png,,,,Rose Flame,Radial Bloom,603 Hz,3 x 4,Square Petal Core,Classic Plate Gradient
